trial_id,adv_lr,dis_lambda,gen_d_model,dis_d_model,gen_num_encoder_layers,roll_num,gen_dropout,batch_size,dataset_name,properties,max_len,gen_epochs,dis_epochs,adv_epochs,gen_max_lr,gen_nhead,dis_nhead,gen_dim_feedforward,dis_feed_forward,dis_num_encoder_layers,dis_dropout,dis_wgan,dis_minibatch
90,0.00004,0.2,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
91,0.00004,0.2,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
92,0.00004,0.2,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
93,0.00008,0.2,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
94,0.00008,0.2,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
95,0.00008,0.2,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
96,0.00016,0.2,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
97,0.00016,0.2,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
98,0.00016,0.2,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
99,0.00032,0.2,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
100,0.00032,0.2,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
101,0.00032,0.2,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
102,0.00004,0.35,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
