C/C=C/C(=O)OC 
CCCCCCCCCCCCC1=CC=CC=C1 
CCCCCCCC1=CC=CC=C1 
CCCCCCC1=CC=CC=C1 
CCCCCCCCCCCC1=CC=CC=C1 
CCCCCCCCCC1=CC=CC=C1 
CCCCCCCCC1=CC=CC=C1 
CC1=CC(=C(C(=C1C)C)C)C 
CCCCCC1=CC=CC=C1 
CCC(C)C1=CC=CC=C1 
CC(C)(C)C1=CC=CC=C1 
C1CCC2=CC=CC=C2C1 
CCCCOC(=O)C 
CCCCOC=O 
CCCCOC(=O)CC 
CCOC(=O)OCC 
CCOC(=O)/C=C/C 
CCOC(=O)C(=C)C 
CCCC(=O)OCC 
CCOC(=O)C 
CCOC(=O)C(C)C 
CCOC(=O)CC(C)C 
CCOC=O 
CCCCC(=O)OCC 
CCOC(=O)C=C 
CCC(=O)OCC 
CCCCO 
CCCCOCC(C)O 
CCCCOCCCC 
CCOCOCC 
CC(C)COC(=O)C 
CC(C)COC=O 
CCC(=O)OCC(C)C 
CC(C)CCOC(=O)C 
CC(C)CCOC=O 
CC(C)OC(=O)C 
CC/C=C/CC(=O)OC 
C/C=C/CC(=O)OC 
CC(=C)C(=O)OC 
CC(C)C(=O)OC 
CCCC(=O)OC 
COCCOCCOC 
CC(C)CC(=O)CC(C)C 
COC(=O)OC 
C1CCC=CCC1 
C1CCCC=CCC1 
CCCCCC=C 
CCCCCC(C)C 
CCC(C)(C)C 
CCCCC(C)(C)C 
CCCC(C)(C)C 
C1=CC=C(C=C1)C#N 
C1=CC=C(C=C1)N 
C1=CC=C(C=C1)OC2=CC=CC=C2 
C1=CC=C2C(=C1)C=CC3=CC=CC=C32 
C1=CC=C2C=C3C=CC=CC3=CC2=C1 
C1=CC=NC=C1 
C1C=CC2=CC=CC=C21 
C1CC2=CC=CC3=C2C1=CC=C3 
CC(C)(C=C)O 
CC(C)C(=O)C 
CC(C)C(=O)O 
CC(C)CC=O 
CC(C)CN 
CC1=CC(=CC=C1)N 
CC1=CC=C(C=C1)C(C)(C)C 
CC1=CC=CC=C1C2=CC=CC=C2 
CC1=CC=CC=C1N 
CC1=CC=CC=N1 
CC1=CC=NC=C1 
CC1=CN=CC=C1 
CC(C)C(C(C)C)O 
CC(C)(OC)OC 
CCC(C(C)(C)C)O 
CCC(C)(C)OC 
CCC(C)CC(=O)CC 
CCC(CC)C=O 
CCCCC(CC)C=O 
CCCCCCC=C 
C1CCC(=CC1)C2=CC=CC=C2 
CC1=C2CC3=CC=CC=C3C2=CC=C1 
CCCCCCCCCCC=C 
CCCCCCCCC=C 
CCCOC 
CC1=C2C=CC=C(C2=CC=C1)C 
CC1=CC=CC=C1C=C 
CCC#CC 
C1CC2=CC=CC=C2C=C1 
C1CCOCC1 
CC(C)C(C)(C)C 
CC(C)CCOCCC(C)C 
CC(CC(C)(C)C)CC(C)(C)C 
CCC(=O)CC 
C=C(C1=CC=CC=C1)C2=CC=CC=C2 
CCC1CCCCC1 
CCCC(C)C 
C1CCCCCC1 
C1CCNCC1 
CC(=O)C(C)(C)C 
CC(=O)CC(C)(C)C 
CC(=O)OC(C)(C)C 
CC(C)(C)C(=O)C(C)(C)C 
CC(C)(C)C=O 
CC(C)C(C)(C)O 
CC(C)NC(C)C 
CC(C)OC=O 
CCC(C)(C)C(=O)O 
CCC(CC)C(=O)O 
CCC1CCCC1 
CCCCCOC=O 
CCCCN 
CCCCOC 
CCCOCC(C)O 
CC[C@@H](C)O 
CN1CCCCC1 
COC(OC)(OC)OC 
COC(OC)OC 
CC(C)CCCO 
CCC(C)CO 
CCC/C=C/CCC 
CC(CC=O)CC(C)(C)C 
CCC(=O)C(C)C 
CCC(=O)OC(C)(C)C 
CCCC(=O)C(C)C 
CCCC(=O)OC(C)C 
CCCOC(=O)OCCC 
CCOC(=O)C=C(C)C 
CCCCN(C)C 
CCC(C)CC(C)C 
CC1CCCCN1 
CC1CCCNC1 
COC1CCCC1 
C/C(=C\C1=CC=CC=C1)/C2=CC=CC=C
CCC(C)OC 
CCC(C)C=O 
C1CCC(CC1)C2CCCCC2 
CC1CCCC=C1 
CCC(C)C=C 
CC(C)(C)C=C 
CCC(C)CC=C 
CC(C)CC=C 
CC(C)(C)CC=C 
CCC(C)OC(C)CC 
CC1=CCC=CC1 
CC(C)(C)C1=CCCCC1 
CC(C)CCC(C)O 
CCC=C(C)C(=O)OC 
CCCCC(C)(C)O 
CC(C)(C)CC=O 
CCC(C)C(C)O 
CCC/C=C/C(=O)OC 
CC/C=C/C(=O)OC 
CC[C@H](C)O 
CCC(C)C(=O)OC 
COC1CCCCO1 
COCCCO 
CC(C)(C)CCN 
C#CCN 
CCC=CCC(=O)OC 
CC=CCC(=O)OC 
CC=C(C)C(=O)OC 
CCCC=C(C)C(=O)[O-] 
CCC=CC(=O)OC 
CC=CC(=O)OC 
CC(CO)O 
CCCCC=C 
CCCCCCCC=C 
CC(C)CC(C)O 
CCCCCCCO 
CCCCC(C)O 
CO 
CCCCCCCCO 
CC(C)O 
C/C=C/C1=CC=CC=C1 
CC(C)(C)CC1=CC=CC=C1 
CCCCCCC(=O)OC 
COC(=O)CCCC=C 
CCCCCCCC(=O)OC 
COC(=O)CCC=C 
COC(=O)C=C 
CCC(=O)OC 
CCCOC(=O)C 
CCCOC=O 
CCCOC(=O)CC 
CCCOC(=O)C=C 
CC(C)(C)OC=O 
CC1=CCC(CC1)C(=C)C 
CC1(CCCCC1)C 
C[C@@H]1CCCC[C@@H]1C 
C1CC=CC=C1 
C1C=CCC=C1 
C1CCCCCCC1 
C1CCCC1 
C1C=CC2C1C3CC2C=C3 
CC(C)C1CCCCC1 
CC1CCCC1 
CCC/C=C/C 
CCC/C=C/CC 
CC/C(=C/C)/C 
CCCCC/C=C/C 
C/C=C\C(C)C 
CCCC/C=C\C 
CCC/C=C\C 
CC/C=C\C 
CC/C=C/CC 
CCCC/C=C/CC 
CC1=CCCCC1 
CC1=CCCC1 
CCC(=C)CC 
CC=C(C)C 
CCCCCC(=C)C 
CCCCC=C(C)C 
CCCCC(=C)C 
CCCC(=C)C 
CCC=C(C)C 
CC(C)C(=C)C 
CC(=C(C)C)C 
CC(=C)C(C)(C)C 
CC(C)C(=C(C)C)C 
CC(=C)CC(C)(C)C 
CC(=CC(C)(C)C)C 
CCC(=CC)CC 
CC(C)CC(C)(C)C 
CC(C)C(C)C 
CCCCC(C)C(C)C 
CCC(C)C(C)C 
CC(C)C(C)C(C)C 
CC(C)CC(C)C 
CC(C)CCC(C)C 
CCCCC(C)CC 
CCC(C)CC 
CCC(C)(C)CC 
CCC(C)C(C)CC 
CCCC(C)CCC 
CCCCCCCCCC 
CCCCCCC 
CCCCCC 
C1=CC=C2C=CC=CC2=C1 
C1CCC(=O)CC1 
C1CCC2CCCCC2C1 
C1CCOC1 
CC(C)C=O 
CC(C)OC(C)C 
CC(C)OCCO 
CC(COC)O 
CC1=CC2=CC=CC=C2C=C1 
CC1=CC=CC2=CC=CC=C12 
CCCC=O 
CCCCC(=O)OC 
CCCCC=O 
CCCCCC(=O)C 
CCCCCC(=O)CC 
CCCCCC=O 
CCCCCCCC(=O)C 
CCCCCCCC=O 
CCCCOCCO 
CCOC(C)OCC 
COCCOC 
COCCOCCO 
COCOC 
CCCOCCC 
C1CCNC1 
C1COCCN1 
C1COCO1 
C=CCN 
CC1=CC2=CC=CC=C2C=C1C 
CC(=O)C 
CC(C)(C)N 
CC(COC(C)(C)C)O 
CC1=C(C2=CC=CC=C2C=C1)C 
CCC(C)N 
CCC1=CC2=CC=CC=C2C=C1 
CCC1CO1 
CCC=O 
CCCC(=O)O 
CCCC(C)C=O 
CCCCC(=O)C 
CCCCC(=O)CC 
CCCCCCC=O 
CCCCCCCCC=O 
CCCCCCCCCC=O 
CCCCCCN 
CCCCNCC 
CCN(CC)CC 
CCNCC 
CCOC1=CC=CC=C1 
CCOCCO 
CCOCCOCC 
CC1=CC(=C(C=C1)C)C=C 
CCCCCCC(=O)C 
CC(C(C)(C)C)O 
CCC(CC)(CC)O 
CC1=CC(=CC=C1)C2=CC=CC=C2 
CC1=CC(=CC=C1)C=C 
CCCCCC(CC)O 
CC1=CC=C(C=C1)C2=CC=C(C=C2)C 
C1=CC=C(C=C1)CC2=CC=C(C=C2)C3
CC1=CC=C(C=C1)C2=CC=CC=C2 
CC1=CC=C(C=C1)C=C 
CCCCC1=CC=C(C=C1)C2=CC=CC=C2 
CCCCCC1=CC=C(C=C1)C2=CC=CC=C2 
CC1=C2C=CC=CC2=CC3=CC=CC=C13 
CC(OC)OC 
C=CCC1=CC=CC=C1 
CC(=C)C1=CC=CC=C1 
COC1=CC=CC=C1 
C1=CC=C2C=CC=C2C=C1 
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2 
C1CCC/C=C\CC1 
C1=CC=C(C=C1)/C=C\C2=CC=CC=C2 
C1=CC=C(C=C1)C#CC2=CC=CC=C2 
C1C2=CC=CC=C2C3=CC=CC=C31 
CC1=C(C(=C(C(=C1C)C)C)C)C 
CC1=CC(=CC(=C1)C)C 
C[C@@H](C(=O)OC)O 
CC(=CC(=O)OC)C 
CCCCC1=CC=CC=C1 
CCCC1=CC=CC=C1 
CCCCCCCCCCCCCC1=CC=CC=C1 
CC1=CC=CC=C1C 
C#CC1=CC=CC=C1 
CC1=CC=C(C=C1)C#C 
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C4)
CC(=O)C(OC)OC 
CCC(C)OC(=O)C 
CC(C)(C)OC 
C1=CC=C(C=C1)/C=C/C2=CC=CC=C2 
C1=CC=C(C=C1)C(C2=CC=CC=C2)C3
C1C2=CC=CC=C2C=C1C3=CC=CC=C3 
C1CC2=CC=CC=C2C3=CC=CC=C31 
C1C2=CC=CC=C2CC3=CC=CC=C31 
CC1CCC=CC1 
CCCCC(CC)O 
CCCCC(CCC)O 
CC1=CC(=CC=C1)C2=CC=CC(=C2)C 
CC1=CC=CC=C1C2=CC=CC=C2C 
CCC(C1=CC=CC=C1)C2=CC=CC=C2 
C1C2=CC=CC3=C2C4=C(C=CC=C41)C
C1=CC=C2C(=C1)C3=CC=CC4=C3C2=C
CC(=C)CCC=C 
CC1=CC2=CC=CC=C2C1 
CCC1=CC=CC2=CC=CC=C21 
C=CCCC1=CC=CC=C1 
C1CNCC=C1 
C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C 
CC1=CC2=C(C=C1)C=C(C=C2)C 
CC1=CC=C(C2=CC=CC=C12)C 
C1CC1C2=CC=CC=C2 
CCCCCCCCCCCCCCC1=CC=CC=C1 
CCCCCOC(=O)C 
C1=CC=C(C=C1)CCCC2=CC=CC=C2 
CC(C(=O)OC)O 
CC1=CC2=CC=CC=C2C(=C1)C 
CC1=CC=C(C=C1)CCC2=CC=C(C=C2)C 
CC1CCC(CC1)C 
CCC(=CC)C 
CCC(CC)O 
CCCC(=O)OCCC 
CC1CCCC(C1)C 
CCCC#C 
CCCCCCC#C 
CCCCCCCCC(=O)C 
CCC(C)C(=O)C 
CCCOC(=O)C(=C)C 
CC#CC1=CC=CC=C1 
CC(C)(C)C(=O)OC 
CC(C)CC(=O)OC 
CC(OC)(OC)OC 
CCC(OCC)OCC 
CCOC(=O)C=CC 
CCOC(=O)/C(=C/C)/C 
CNCC=C 
C1CC2=CC=CC=C2CC3=CC=CC=C31 
CCCC1=CC=C(C=C1)C2=CC=CC=C2 
CCC1=CC=C(C=C1)C2=CC=CC=C2 
CC1CCCC2=C(C=CC=C12)C 
CC1=CC(=C(C=C1)C)C#C 
CC1=CC=CC=C1C#C 
CCC#CC1=CC=CC=C1 
C#CCC1=CC=CC=C1 
CCC1=CC=C(C=C1)C#C 
CC(=CC1=CC=CC=C1)C 
CC1=CC(=CC=C1)C#C 
C#CCCC1=CC=CC=C1 
CC1=CC2C3CC(C2C1)C=C3C 
C1=CC=C(C=C1)Br 
C1=CC=C(C=C1)Cl 
C1=CC=C(C=C1)F 
CC1CCC(C(C1)C)C 
CCCC(CCC)CO 
CCCCC(CCCC)C=O 
CCOC(=O)CCC=C 
C/C=C(/C)\C(=O)OC 
CC(C)(CCO)OC 
CCC(C)C(=O)OCC 
CCC(COC)O 
CC(COC)OC 
CC(C)NC 
CC=CC1=CC=CC=C1 
CCOC(=O)C(=CC)C 
CCO 
